"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 20:45:45 GMT 2021","Thu Aug 26 20:45:53 GMT 2021","7728","","RegistrationTest","","RegistrationTest","registration","registration()",""
"passed","Thu Aug 26 20:46:50 GMT 2021","Thu Aug 26 20:46:56 GMT 2021","5446","","LoginTest","","LoginTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 20:46:56 GMT 2021","Thu Aug 26 20:47:01 GMT 2021","5657","","LoginTest","","LoginTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 20:46:14 GMT 2021","Thu Aug 26 20:46:23 GMT 2021","9460","","DataTest","","DataTest","dataDelete","dataDelete()",""
"passed","Thu Aug 26 20:45:59 GMT 2021","Thu Aug 26 20:46:03 GMT 2021","4851","","RegistrationTest","","RegistrationTest","registrationWithEmptyField","registrationWithEmptyField()",""
"passed","Thu Aug 26 20:45:53 GMT 2021","Thu Aug 26 20:45:59 GMT 2021","5578","","RegistrationTest","","RegistrationTest","registrationWithAlreadyCreatedEmail","registrationWithAlreadyCreatedEmail()",""
"passed","Thu Aug 26 20:46:23 GMT 2021","Thu Aug 26 20:46:27 GMT 2021","4190","","LogoutTest","","LogoutTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 20:46:07 GMT 2021","Thu Aug 26 20:46:14 GMT 2021","6301","","DataTest","","DataTest","dataModifier","dataModifier()",""
"passed","Thu Aug 26 20:46:27 GMT 2021","Thu Aug 26 20:46:32 GMT 2021","4524","","LogoutTest","","LogoutTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 20:46:37 GMT 2021","Thu Aug 26 20:46:41 GMT 2021","4570","","LogoutTest","","LogoutTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 20:46:41 GMT 2021","Thu Aug 26 20:46:50 GMT 2021","8963","","LogoutTest","","LogoutTest","logout","logout()",""
"passed","Thu Aug 26 20:47:01 GMT 2021","Thu Aug 26 20:47:06 GMT 2021","4950","","LoginTest","","LoginTest","login","login()",""
"passed","Thu Aug 26 20:47:06 GMT 2021","Thu Aug 26 20:47:11 GMT 2021","4346","","LoginTest","","LoginTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 20:46:03 GMT 2021","Thu Aug 26 20:46:07 GMT 2021","4000","","RegistrationTest","","RegistrationTest","registrationWithInvalidEmail","registrationWithInvalidEmail()",""
"passed","Thu Aug 26 20:46:32 GMT 2021","Thu Aug 26 20:46:37 GMT 2021","4828","","LogoutTest","","LogoutTest","login","login()",""
"passed","Thu Aug 26 20:47:11 GMT 2021","Thu Aug 26 20:47:14 GMT 2021","3115","","TermsAndConditionsTest","","TermsAndConditionsTest","termsAndConditions","termsAndConditions()",""
