"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 17:46:53 GMT 2021","Thu Aug 26 17:47:03 GMT 2021","10020","","RegistrationTest","","RegistrationTest","registration","registration()",""
"passed","Thu Aug 26 17:47:07 GMT 2021","Thu Aug 26 17:47:12 GMT 2021","4624","","RegistrationTest","","RegistrationTest","registrationWithEmptyField","registrationWithEmptyField()",""
"passed","Thu Aug 26 17:47:03 GMT 2021","Thu Aug 26 17:47:07 GMT 2021","3670","","RegistrationTest","","RegistrationTest","registrationWithAlreadyCreatedEmail","registrationWithAlreadyCreatedEmail()",""
"broken","Thu Aug 26 17:47:24 GMT 2021","Thu Aug 26 17:47:39 GMT 2021","14909","","DataTest","","DataTest","dataDelete","dataDelete()",""
"passed","Thu Aug 26 17:47:44 GMT 2021","Thu Aug 26 17:47:52 GMT 2021","7960","","LogoutTest","","LogoutTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 17:47:17 GMT 2021","Thu Aug 26 17:47:24 GMT 2021","7272","","DataTest","","DataTest","dataModifier","dataModifier()",""
"passed","Thu Aug 26 17:47:52 GMT 2021","Thu Aug 26 17:48:00 GMT 2021","7883","","LogoutTest","","LogoutTest","login","login()",""
"passed","Thu Aug 26 17:48:22 GMT 2021","Thu Aug 26 17:48:32 GMT 2021","10838","","LoginTest","","LoginTest","login","login()",""
"passed","Thu Aug 26 17:48:05 GMT 2021","Thu Aug 26 17:48:13 GMT 2021","7774","","LogoutTest","","LogoutTest","logout","logout()",""
"passed","Thu Aug 26 17:48:17 GMT 2021","Thu Aug 26 17:48:22 GMT 2021","4644","","LoginTest","","LoginTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 17:47:12 GMT 2021","Thu Aug 26 17:47:17 GMT 2021","5050","","RegistrationTest","","RegistrationTest","registrationWithInvalidEmail","registrationWithInvalidEmail()",""
"passed","Thu Aug 26 17:48:00 GMT 2021","Thu Aug 26 17:48:05 GMT 2021","5310","","LogoutTest","","LogoutTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 17:48:13 GMT 2021","Thu Aug 26 17:48:17 GMT 2021","4064","","LoginTest","","LoginTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 17:48:38 GMT 2021","Thu Aug 26 17:48:41 GMT 2021","2761","","TermsAndConditionsTest","","TermsAndConditionsTest","termsAndConditions","termsAndConditions()",""
"passed","Thu Aug 26 17:47:39 GMT 2021","Thu Aug 26 17:47:44 GMT 2021","5022","","LogoutTest","","LogoutTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 17:48:32 GMT 2021","Thu Aug 26 17:48:38 GMT 2021","5981","","LoginTest","","LoginTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
