"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 26 18:03:23 GMT 2021","Thu Aug 26 18:03:28 GMT 2021","4847","","LoginTest","","LoginTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 18:03:19 GMT 2021","Thu Aug 26 18:03:23 GMT 2021","3961","","LoginTest","","LoginTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 18:03:28 GMT 2021","Thu Aug 26 18:03:33 GMT 2021","5165","","LoginTest","","LoginTest","login","login()",""
"passed","Thu Aug 26 18:03:06 GMT 2021","Thu Aug 26 18:03:11 GMT 2021","4157","","LogoutTest","","LogoutTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 18:02:17 GMT 2021","Thu Aug 26 18:02:21 GMT 2021","4204","","RegistrationTest","","RegistrationTest","registrationWithEmptyField","registrationWithEmptyField()",""
"passed","Thu Aug 26 18:03:33 GMT 2021","Thu Aug 26 18:03:38 GMT 2021","4608","","LoginTest","","LoginTest","loginWithEmptyEmail","loginWithEmptyEmail()",""
"passed","Thu Aug 26 18:02:25 GMT 2021","Thu Aug 26 18:02:31 GMT 2021","5875","","DataTest","","DataTest","dataModifier","dataModifier()",""
"broken","Thu Aug 26 18:02:31 GMT 2021","Thu Aug 26 18:02:45 GMT 2021","14229","","DataTest","","DataTest","dataDelete","dataDelete()",""
"passed","Thu Aug 26 18:03:38 GMT 2021","Thu Aug 26 18:03:41 GMT 2021","3293","","TermsAndConditionsTest","","TermsAndConditionsTest","termsAndConditions","termsAndConditions()",""
"passed","Thu Aug 26 18:03:11 GMT 2021","Thu Aug 26 18:03:19 GMT 2021","8723","","LogoutTest","","LogoutTest","logout","logout()",""
"passed","Thu Aug 26 18:02:52 GMT 2021","Thu Aug 26 18:03:00 GMT 2021","8373","","LogoutTest","","LogoutTest","loginWithNotRegisteredEmail","loginWithNotRegisteredEmail()",""
"passed","Thu Aug 26 18:02:05 GMT 2021","Thu Aug 26 18:02:13 GMT 2021","8036","","RegistrationTest","","RegistrationTest","registration","registration()",""
"passed","Thu Aug 26 18:02:13 GMT 2021","Thu Aug 26 18:02:17 GMT 2021","3858","","RegistrationTest","","RegistrationTest","registrationWithAlreadyCreatedEmail","registrationWithAlreadyCreatedEmail()",""
"passed","Thu Aug 26 18:02:45 GMT 2021","Thu Aug 26 18:02:52 GMT 2021","6713","","LogoutTest","","LogoutTest","loginWithInvalidEmail","loginWithInvalidEmail()",""
"passed","Thu Aug 26 18:02:21 GMT 2021","Thu Aug 26 18:02:25 GMT 2021","4017","","RegistrationTest","","RegistrationTest","registrationWithInvalidEmail","registrationWithInvalidEmail()",""
"passed","Thu Aug 26 18:03:00 GMT 2021","Thu Aug 26 18:03:06 GMT 2021","6278","","LogoutTest","","LogoutTest","login","login()",""
